Gene	RR3_HRT_FLT_F1	RR3_HRT_FLT_F2	RR3_HRT_FLT_F9	RR3_HRT_GC_G7	RR3_HRT_GC_G8
ENSMUSG00000096221	0.30910901	0.385423122	0.289597659	0.415448261	0.672128814
ENSMUSG00000096233	0.037093081	0.079742715	0.016088759	0.028651604	0
ENSMUSG00000096255	31.87371376	26.3408794	30.58633943	27.47674515	28.29019401
ENSMUSG00000096299	0	0.093033167	0.008044379	0	0.058445984
ENSMUSG00000096336	0.061821802	0.026580905	0.112621312	0.200561229	0.233783935
ENSMUSG00000096370	2.12493898	1.248239297	1.391034089	0.917997398	2.287868037
ENSMUSG00000096401	1.067415234	0.962494569	0.832754158	0.847227936	0.534488522
ENSMUSG00000096403	10.18316359	9.98857247	8.899336065	10.96683127	12.14127645
ENSMUSG00000096422	0.01236436	0.026580905	0.008044379	0.100280615	0
ENSMUSG00000096433	3.288796225	2.977725879	3.306239942	2.386105596	2.468758357
ENSMUSG00000096458	1.905842513	2.141889323	2.104811875	1.579133164	1.541220594
ENSMUSG00000096464	0.024728721	0	0.088488174	0	0
ENSMUSG00000096472	6.08326532	5.980703619	6.411370398	5.773298242	8.533113639
ENSMUSG00000096488	0.020153907	0.008904603	0.056149768	0.086814361	0
ENSMUSG00000096498	0	0.039871357	0.016088759	0.014325802	0.175337951
ENSMUSG00000096544	0.047108213	0.080673047	0.054540892	0.05787624	0.089422355
ENSMUSG00000096549	0.34236914	0.584248291	0.390393733	0.416737583	0.102864932
ENSMUSG00000096553	0.630582381	0.292389955	0.563106559	0.472751469	0.467567871
ENSMUSG00000096592	0.129083923	0.292788668	0	0.10644071	0.091760195
ENSMUSG00000096606	2.42341464	2.060020135	2.405269447	1.976960688	2.893076199
ENSMUSG00000096647	0.041420607	0.014885307	0.045772519	0.016761188	0.031268601
ENSMUSG00000096674	0	0	0.13273226	0	0
ENSMUSG00000096687	4.686092594	3.727706113	4.166908096	3.667405335	4.675678706
ENSMUSG00000096688	0	0	0.243503365	0	0
ENSMUSG00000096696	4.501245406	4.880785771	4.984619264	5.381344297	4.98661134
ENSMUSG00000096718	1.364407171	1.986922647	1.832992295	1.934269798	2.607275339
ENSMUSG00000096727	4.686092594	3.455517646	4.118722263	5.343524179	10.66639205
ENSMUSG00000096740	1.085096269	1.213152503	0.669855474	0.736059711	0.871137389
ENSMUSG00000096751	0.111279244	0.119614072	0.040221897	0	0
ENSMUSG00000096764	3.161196025	3.688632183	4.102231285	3.291066514	6.945720718
ENSMUSG00000096768	9.703055473	7.960981039	5.202380615	2.678924991	5.172469569
ENSMUSG00000096775	0.075546242	0.043193971	0.123561668	0	0
ENSMUSG00000096780	5.16348055	4.317137681	4.653432163	3.374442682	3.335804527
ENSMUSG00000096795	2.361592838	1.940406063	2.823577177	3.237631272	2.13327841
ENSMUSG00000096833	0.061821802	0.039871357	0.056310656	0.028651604	0
ENSMUSG00000096856	4.083206381	3.43624649	4.384186784	4.306765882	4.275323717
