ENSEMBL,log2FoldChange,pvalue,padj,significance
ENSMUSG00000001847,0.09735297269649656,0.5468761903510602,1.0,Not Significant
ENSMUSG00000001855,0.14146414884316227,0.7065342137410644,1.0,Not Significant
ENSMUSG00000001864,0.6799994085481815,0.6129829173624596,1.0,Not Significant
ENSMUSG00000001865,-0.05461735294320921,0.8623640404879169,1.0,Not Significant
ENSMUSG00000001870,-0.3022755146649796,0.7675442037206319,1.0,Not Significant
ENSMUSG00000001891,-0.374830408700074,0.14955741610443618,1.0,Not Significant
ENSMUSG00000001909,0.22506936466902605,0.2906998251110637,1.0,Not Significant
ENSMUSG00000001910,0.14126170767907098,0.5788689707024735,1.0,Not Significant
ENSMUSG00000001911,-0.029782994532533635,0.7668531029139807,1.0,Not Significant
ENSMUSG00000001918,0.4306239564887766,0.7227750405842992,1.0,Not Significant
ENSMUSG00000001924,0.002756808399583477,0.994205430246234,1.0,Not Significant
ENSMUSG00000001930,-0.22363666347566102,0.7497147107736719,1.0,Not Significant
ENSMUSG00000001942,-0.16186919246589326,0.4666697328619166,1.0,Not Significant
ENSMUSG00000001943,0.13079028225531675,0.7541044370264642,1.0,Not Significant
ENSMUSG00000001946,0.1577006805422725,0.685432136232719,1.0,Not Significant
ENSMUSG00000001948,-0.063493246898775,0.8046227638325083,1.0,Not Significant
ENSMUSG00000001962,0.11842494616888555,0.38040342688997975,1.0,Not Significant
ENSMUSG00000001964,0.14788508373851483,0.39520654626500773,1.0,Not Significant
ENSMUSG00000001983,-0.14670930315453745,0.5802222664503909,1.0,Not Significant
ENSMUSG00000001985,0.19690935816050903,0.4621192927926575,1.0,Not Significant
ENSMUSG00000001986,0.9764280580724114,0.46988720151683505,1.0,Not Significant
ENSMUSG00000001995,0.2659230138884987,0.8811114728920502,1.0,Not Significant
ENSMUSG00000001998,0.06277895100655995,0.8060413800219199,1.0,Not Significant
ENSMUSG00000001999,-0.028986209110035244,0.34611910754423647,1.0,Not Significant
ENSMUSG00000002006,0.29876893180300607,0.687828933113696,1.0,Not Significant
ENSMUSG00000002007,-0.3593017137859569,0.5672849816339258,1.0,Not Significant
ENSMUSG00000002010,0.08396180585106627,0.8454763860035139,1.0,Not Significant
ENSMUSG00000002012,-0.1383303193939041,0.8204791251010206,1.0,Not Significant
ENSMUSG00000002014,0.011208408236106138,0.9364451464093824,1.0,Not Significant
ENSMUSG00000002015,0.14942638395072017,0.13261430261342985,1.0,Not Significant
ENSMUSG00000002017,-0.17557285836200265,0.38801281827454115,1.0,Not Significant
ENSMUSG00000002020,0.13530935634997676,0.7164281921584257,1.0,Not Significant
ENSMUSG00000002028,0.2227823558109474,0.11909304614605426,1.0,Not Significant
