ENSEMBL,log2FoldChange,pvalue,padj,significance
ENSMUSG00000001288,0.20915667775783842,0.6053006770685299,1.0,Not Significant
ENSMUSG00000001289,0.05528100246891832,0.8596136650781125,1.0,Not Significant
ENSMUSG00000001300,0.10476181189135936,0.48578661466520434,1.0,Not Significant
ENSMUSG00000001305,-0.04785446634135049,0.480393799146306,1.0,Not Significant
ENSMUSG00000001313,0.10178840713597603,0.4722382169978411,1.0,Not Significant
ENSMUSG00000001323,0.015327068043674785,0.8208016948335708,1.0,Not Significant
ENSMUSG00000001333,0.04671304565091172,0.8522789979329057,1.0,Not Significant
ENSMUSG00000001334,0.7009594346688095,0.05010293123523875,1.0,Not Significant
ENSMUSG00000001348,-0.3976887945756662,0.3057105080261898,1.0,Not Significant
ENSMUSG00000001349,0.3737837762927505,0.26081551237467115,1.0,Not Significant
ENSMUSG00000001366,0.043024464082005665,0.7474739663700132,1.0,Not Significant
ENSMUSG00000001376,-0.03716469747966311,0.7720393451005141,1.0,Not Significant
ENSMUSG00000001380,-0.0114426617855381,0.9002334778270482,1.0,Not Significant
ENSMUSG00000001383,-0.05325042307152561,0.46972366350535,1.0,Not Significant
ENSMUSG00000001403,-0.3349508445593854,0.08847026574349166,1.0,Not Significant
ENSMUSG00000001415,0.08190464180616264,0.729137668830719,1.0,Not Significant
ENSMUSG00000001416,-0.2505712316292241,0.08275254381562278,1.0,Not Significant
ENSMUSG00000001418,0.149662269103235,0.7498477500758849,1.0,Not Significant
ENSMUSG00000001419,0.09418727296900897,0.7384910441093285,1.0,Not Significant
ENSMUSG00000001420,0.133146038425902,0.6233896901367024,1.0,Not Significant
ENSMUSG00000001424,0.05408633356600134,0.8721100286663562,1.0,Not Significant
ENSMUSG00000001435,0.14075969910649455,0.7965059603687373,1.0,Not Significant
ENSMUSG00000001436,0.07144048827866434,0.776108926100018,1.0,Not Significant
ENSMUSG00000001440,-0.001165176979222693,0.9890384653541799,1.0,Not Significant
ENSMUSG00000001441,-0.0746437692277393,0.29561957301069564,1.0,Not Significant
ENSMUSG00000001444,-0.08695873130093057,0.6960353262928491,1.0,Not Significant
ENSMUSG00000001445,0.07875613991468011,0.7219588269756902,1.0,Not Significant
ENSMUSG00000001467,-0.10663891567045258,0.6173004875890555,1.0,Not Significant
ENSMUSG00000001472,0.15968167378422304,0.5743201405900279,1.0,Not Significant
ENSMUSG00000001473,-0.31080200477864794,0.23004809059422754,1.0,Not Significant
ENSMUSG00000001482,0.08458053076790062,0.7779359738599528,1.0,Not Significant
ENSMUSG00000001493,0.034893076568003334,0.8541601720454373,1.0,Not Significant
ENSMUSG00000001494,0.08928717506189277,0.39405675642112914,1.0,Not Significant
ENSMUSG00000001496,0.22438164702282126,0.05249347639864073,1.0,Not Significant
ENSMUSG00000001497,0.3966502713444643,0.4863732247553214,1.0,Not Significant
ENSMUSG00000001504,0.16537862093790512,0.13552880072709464,1.0,Not Significant
ENSMUSG00000001506,0.02647701291414517,0.9414200427684546,1.0,Not Significant
ENSMUSG00000001507,0.3815011320978767,0.5429877537697725,1.0,Not Significant
ENSMUSG00000001508,0.2530708363772918,0.10597525505255984,1.0,Not Significant
ENSMUSG00000001510,-0.12164476499740191,0.4493433966732886,1.0,Not Significant
ENSMUSG00000001517,-0.15529479622282794,0.4354228101590022,1.0,Not Significant
ENSMUSG00000001518,0.1723702919323058,0.44556161442079234,1.0,Not Significant
ENSMUSG00000001520,-0.07849346055510864,0.37397822682358295,1.0,Not Significant
ENSMUSG00000001521,0.24498792483046383,0.2502892095345081,1.0,Not Significant
ENSMUSG00000001524,0.19080156116940206,0.4243870824175465,1.0,Not Significant
ENSMUSG00000001525,-0.07605079900971123,0.7916571524318683,1.0,Not Significant
ENSMUSG00000001542,-0.26069419114444425,0.11515182470717349,1.0,Not Significant
ENSMUSG00000001552,0.3023149705324508,0.6247684857443025,1.0,Not Significant
ENSMUSG00000001555,0.1788497386995047,0.6616961980977022,1.0,Not Significant
ENSMUSG00000001558,0.029015909803266404,0.5889420864569386,1.0,Not Significant
ENSMUSG00000001569,-0.010250411433828432,0.845077284281996,1.0,Not Significant
ENSMUSG00000001576,0.04569672997056351,0.8686478319804128,1.0,Not Significant
ENSMUSG00000001583,0.26289738363001414,0.33367235658402916,1.0,Not Significant
ENSMUSG00000001588,-0.013086052023205674,0.9710840354254564,1.0,Not Significant
ENSMUSG00000001604,0.3155436519945023,0.18325385145069223,1.0,Not Significant
ENSMUSG00000001622,-0.002899337055736094,0.3574487985474749,1.0,Not Significant
ENSMUSG00000001627,-0.10212577618796637,0.5306306765066806,1.0,Not Significant
ENSMUSG00000001630,0.0534256575816805,0.3783628918972526,1.0,Not Significant
ENSMUSG00000001632,0.1301805677173684,0.6229428215068213,1.0,Not Significant
ENSMUSG00000001642,0.079794031556502,0.6653580271581419,1.0,Not Significant
ENSMUSG00000001657,0.0442884325663174,0.6935151676790687,1.0,Not Significant
ENSMUSG00000001661,-0.01574390773031001,0.8787459162167636,1.0,Not Significant
ENSMUSG00000001663,0.09823920262274832,0.8104098599966049,1.0,Not Significant
ENSMUSG00000001665,0.26785956478341966,0.24032589115939157,1.0,Not Significant
ENSMUSG00000001666,0.14878877497355436,0.7475802652020921,1.0,Not Significant
ENSMUSG00000001670,-0.1583689172818321,0.5225830893351879,1.0,Not Significant
ENSMUSG00000001672,0.06775893822229895,0.438496103142587,1.0,Not Significant
ENSMUSG00000001674,-0.04099477396442275,0.6806155551750167,1.0,Not Significant
ENSMUSG00000001687,0.061744591334194965,0.43838860221646325,1.0,Not Significant
ENSMUSG00000001700,-0.23726600094571282,0.08672226653551758,1.0,Not Significant
ENSMUSG00000001707,-0.24216976602006612,0.10868631724087316,1.0,Not Significant
ENSMUSG00000001729,0.22172122600262156,0.6754496549467139,1.0,Not Significant
ENSMUSG00000001739,-0.11679448433213757,0.6038304951243023,1.0,Not Significant
ENSMUSG00000001741,-0.05987570765262795,0.8167439129853551,1.0,Not Significant
ENSMUSG00000001750,0.12431882832752095,0.7867563940132861,1.0,Not Significant
ENSMUSG00000001751,0.07082466892576944,0.8518037528845148,1.0,Not Significant
ENSMUSG00000001755,0.14660383352164708,0.6426164668176555,1.0,Not Significant
ENSMUSG00000001761,0.16838008115931125,0.41251992135267623,1.0,Not Significant
ENSMUSG00000001763,-0.040184690602914186,0.8003041018986349,1.0,Not Significant
ENSMUSG00000001767,-0.02283984892782165,0.8567646331176265,1.0,Not Significant
ENSMUSG00000001768,0.12847838798222977,0.4307803625274156,1.0,Not Significant
ENSMUSG00000001773,-0.5196491155553855,0.18559822580332708,1.0,Not Significant
ENSMUSG00000001774,-0.5348044736873989,0.007090285135029453,1.0,Not Significant
ENSMUSG00000001783,0.12879584574397374,0.5780541479908241,1.0,Not Significant
ENSMUSG00000001785,-0.004812523207783137,0.9410419042004157,1.0,Not Significant
ENSMUSG00000001786,0.04098498556150165,0.6066327429229714,1.0,Not Significant
ENSMUSG00000001794,0.12384107211840245,0.766300508430159,1.0,Not Significant
ENSMUSG00000001802,0.14918610583234382,0.6390089664764925,1.0,Not Significant
